quest_id,quest_name,rule_id,rule,category,description
1,Find the bag of gold and grab it,1,is_collectible(gold_bag),inventory,Inventory management and item handling
1,Find the bag of gold and grab it,2,"requires_proximity(grab, gold_bag)",ui,User interface and menu interaction
1,Find the bag of gold and grab it,3,movement_up(player),movement,Basic movement and navigation
1,Find the bag of gold and grab it,4,movement_down(player),movement,Basic movement and navigation
1,Find the bag of gold and grab it,5,movement_left(player),movement,Basic movement and navigation
1,Find the bag of gold and grab it,6,movement_right(player),movement,Basic movement and navigation
1,Find the bag of gold and grab it,7,"collision_detection(player, gold_bag)",environment,Environmental awareness and interaction
1,Find the bag of gold and grab it,8,"inventory_add(player, gold_bag)",inventory,Inventory management and item handling
1,Find the bag of gold and grab it,9,exploration_success(find_gold),environment,Environmental awareness and interaction
1,Find the bag of gold and grab it,10,safe_action(movement),movement,Basic movement and navigation
1,Find the bag of gold and grab it,11,no_threat_present(environment),environment,Environmental awareness and interaction
1,Find the bag of gold and grab it,12,"loot_interaction(player, gold_bag)",social,NPC interaction and dialogue
2,Find the goblin and kill it,1,is_enemy(goblin),combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,2,has_health(goblin),health,Health management and damage/healing
2,Find the goblin and kill it,3,"can_attack(player, goblin)",combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,4,"weapon_equipped(player, sword)",combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,5,"attack_slash(player, goblin)",combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,6,"damage_dealt(sword, goblin)",combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,7,enemy_health_decrease(goblin),combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,8,"combat_positioning(player, goblin)",movement,Basic movement and navigation
2,Find the goblin and kill it,9,"threat_assessment(goblin, high)",environment,Environmental awareness and interaction
2,Find the goblin and kill it,10,enemy_defeated(goblin),combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,11,experience_gained(combat_victory),combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,12,"retreat_option(player, goblin)",environment,Environmental awareness and interaction
2,Find the goblin and kill it,13,enemy_movement_pattern(goblin),movement,Basic movement and navigation
2,Find the goblin and kill it,14,"combat_range(melee, close)",combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,15,"knockback_effect(attack, goblin)",combat,Combat mechanics and enemy interaction
2,Find the goblin and kill it,16,"enemy_ai_behavior(goblin, aggressive)",combat,Combat mechanics and enemy interaction
3,"Find and grab the mushroom, meat, and pumpkin",1,is_collectible(mushroom),inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",2,is_collectible(meat),inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",3,is_collectible(pumpkin),inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",4,inventory_slot_1(player),inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",5,inventory_slot_2(player),inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",6,inventory_slot_3(player),inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",7,"inventory_capacity(player, 3)",inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",8,collection_order_matters(efficiency),environment,Environmental awareness and interaction
3,"Find and grab the mushroom, meat, and pumpkin",9,path_optimization(multi_target),environment,Environmental awareness and interaction
3,"Find and grab the mushroom, meat, and pumpkin",10,"item_properties(mushroom, consumable)",inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",11,"item_properties(meat, consumable)",inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",12,"item_properties(pumpkin, consumable)",inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",13,exploration_strategy(systematic),environment,Environmental awareness and interaction
3,"Find and grab the mushroom, meat, and pumpkin",14,inventory_management(player),inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",15,"pickup_interaction(player, item)",inventory,Inventory management and item handling
3,"Find and grab the mushroom, meat, and pumpkin",16,collection_completion(all_items),inventory,Inventory management and item handling
4,"Consume mushroom, then meat",1,is_harmful(mushroom),health,Health management and damage/healing
4,"Consume mushroom, then meat",2,"causes_damage(consume, mushroom)",combat,Combat mechanics and enemy interaction
4,"Consume mushroom, then meat",3,"health_decrease(player, mushroom)",health,Health management and damage/healing
4,"Consume mushroom, then meat",4,is_beneficial(meat),environment,Environmental awareness and interaction
4,"Consume mushroom, then meat",5,"restores_health(consume, meat)",inventory,Inventory management and item handling
4,"Consume mushroom, then meat",6,"health_increase(player, meat)",health,Health management and damage/healing
4,"Consume mushroom, then meat",7,"consumption_order_critical(mushroom, meat)",environment,Environmental awareness and interaction
4,"Consume mushroom, then meat",8,"harm_detection(player, mushroom)",environment,Environmental awareness and interaction
4,"Consume mushroom, then meat",9,"healing_detection(player, meat)",health,Health management and damage/healing
4,"Consume mushroom, then meat",10,"inventory_slot_consumption(player, slot_1)",inventory,Inventory management and item handling
4,"Consume mushroom, then meat",11,"inventory_slot_consumption(player, slot_2)",inventory,Inventory management and item handling
4,"Consume mushroom, then meat",12,item_effects_immediate(consumption),inventory,Inventory management and item handling
4,"Consume mushroom, then meat",13,health_monitoring(player),health,Health management and damage/healing
4,"Consume mushroom, then meat",14,safety_priority(health_management),health,Health management and damage/healing
4,"Consume mushroom, then meat",15,avoid_harmful_items(mushroom),inventory,Inventory management and item handling
4,"Consume mushroom, then meat",16,seek_healing_items(meat),inventory,Inventory management and item handling
4,"Consume mushroom, then meat",17,damage_taken_feedback(mushroom),combat,Combat mechanics and enemy interaction
4,"Consume mushroom, then meat",18,healing_received_feedback(meat),health,Health management and damage/healing
5,Check the stats and consume pumpkin,1,ui_element(stats_panel),ui,User interface and menu interaction
5,Check the stats and consume pumpkin,2,toggle_stats(player),ui,User interface and menu interaction
5,Check the stats and consume pumpkin,3,"shows_health(stats_panel, player)",health,Health management and damage/healing
5,Check the stats and consume pumpkin,4,"shows_inventory(stats_panel, player)",inventory,Inventory management and item handling
