agent_config,quest_id,mean_attempts,std_attempts,count_llms,mean_completion_time,std_completion_time,mean_tokens,std_tokens
AGEL-Comp-Full-System,1,1.0,0.0,12,9.85,5.279548878799813,68.83333333333333,8.840334561062445
AGEL-Comp-Full-System,2,1.5833333333333333,1.378954368902449,12,71.75,48.87718374568129,317.25,93.51045153058853
AGEL-Comp-Full-System,3,1.0,0.0,12,28.34166666666667,15.958039201340343,119.75,25.60584095297577
AGEL-Comp-Full-System,4,1.8333333333333333,0.7177405625652734,12,45.800000000000004,33.64642355707093,222.16666666666666,73.37182185569773
AGEL-Comp-Full-System,5,1.0,0.0,12,14.891666666666666,7.110230572061557,91.75,14.7963447574669
AGEL-Comp-Full-System,6,1.25,0.621581560508061,12,44.824999999999996,40.15105851655719,124.41666666666667,47.57856341851546
AGEL-Comp-Full-System,7,3.0,0.6030226891555273,12,96.95833333333333,56.48509792749577,395.75,60.782959633586295
AGEL-Comp-Full-System,8,3.6666666666666665,0.6513389472789296,12,120.60833333333333,53.79618875201498,488.9166666666667,149.3686460547943
AGEL-Comp-Full-System,9,1.0,0.0,12,16.275000000000002,10.203575576505255,98.75,16.575584454250766
AGEL-Comp-Full-System,10,4.0,0.4264014327112208,12,139.75833333333333,90.87622409662829,646.1666666666666,81.17414874356506
AGEL-Comp-w/o-ILP,1,1.5833333333333333,1.378954368902449,12,87.06666666666666,51.256615241943216,365.0,95.28903399657277
AGEL-Comp-w/o-ILP,2,8.25,1.815338686155988,12,402.09999999999997,350.8084792175199,982.75,225.84392237279104
AGEL-Comp-w/o-ILP,3,5.5,2.1105794120443453,12,335.4583333333333,215.46543472354463,760.6666666666666,267.08300832013504
AGEL-Comp-w/o-ILP,4,7.25,2.9271456776494427,12,451.2916666666667,323.7445947834731,1017.6666666666666,378.86345185503853
AGEL-Comp-w/o-ILP,5,5.333333333333333,2.806917861068948,12,232.29999999999998,208.3972997556699,624.5,302.81932807293765
AGEL-Comp-w/o-ILP,6,10.666666666666666,3.961940143032161,12,688.2916666666666,454.4457432528179,1657.8333333333333,748.189430720873
AGEL-Comp-w/o-ILP,7,11.75,3.194455423784382,12,794.7166666666667,469.9926031010456,2146.4166666666665,756.7203708748494
AGEL-Comp-w/o-ILP,8,15.166666666666666,1.7494587907710375,12,884.8000000000001,361.6675042582118,3026.0833333333335,744.0827737842237
AGEL-Comp-w/o-ILP,9,8.25,2.800162332956625,12,329.30833333333334,243.54097082359053,1008.1666666666666,375.73294029701793
AGEL-Comp-w/o-ILP,10,16.0,0.0,12,998.4250000000001,289.0042878731921,4100.666666666667,832.1780112597559
AGEL-Comp-w/o-NTP,1,1.0,0.0,12,36.65,31.884892404340395,185.08333333333334,77.21099584118753
AGEL-Comp-w/o-NTP,2,5.916666666666667,1.378954368902449,12,144.725,94.01615069183107,654.5,120.36875160786693
AGEL-Comp-w/o-NTP,3,4.166666666666667,1.2673044646258476,12,163.36666666666667,117.61871630077599,556.9166666666666,163.11538489020214
AGEL-Comp-w/o-NTP,4,2.4166666666666665,0.6685579234215214,12,64.89166666666667,30.871153299813816,310.5,123.74497234966024
AGEL-Comp-w/o-NTP,5,1.8333333333333333,0.7177405625652734,12,53.416666666666664,38.514644991066426,213.33333333333334,83.04909099533549
AGEL-Comp-w/o-NTP,6,5.0,1.348399724926484,12,252.21666666666667,164.9407046808218,704.4166666666666,185.1944719051906
AGEL-Comp-w/o-NTP,7,7.083333333333333,1.7298624923456327,12,358.10833333333335,193.6948793537888,1158.5,249.23647040876293
AGEL-Comp-w/o-NTP,8,9.083333333333334,3.5021638332824345,12,411.9916666666666,352.45220039121057,1630.5,921.0486612354619
AGEL-Comp-w/o-NTP,9,1.0833333333333333,0.28867513459481287,12,23.38333333333333,10.707587227869041,116.08333333333333,55.96176995922929
AGEL-Comp-w/o-NTP,10,13.916666666666666,3.502163833282434,12,586.1,394.0814428977386,3171.25,1172.0131960938759
MLLM-Agent-Baseline,1,3.6666666666666665,1.8257418583505538,12,140.26666666666668,122.7826929863069,441.1666666666667,147.59147138043724
MLLM-Agent-Baseline,2,8.166666666666666,2.6227443411030134,12,494.6166666666666,356.53291785633417,1111.75,292.03864159014677
MLLM-Agent-Baseline,3,6.166666666666667,1.80067327475704,12,454.6583333333333,290.69021767427114,923.5833333333334,189.1177883721885
MLLM-Agent-Baseline,4,7.916666666666667,3.654594451654054,12,468.125,373.7406760770701,1247.0833333333333,521.2968894686567
MLLM-Agent-Baseline,5,6.416666666666667,2.745519766433815,12,314.75,232.33519085384142,825.3333333333334,308.88224685831716
MLLM-Agent-Baseline,6,10.416666666666666,4.3161079549506045,12,731.7333333333332,502.29004538908566,1793.5,895.2641560405002
MLLM-Agent-Baseline,7,12.666666666666666,3.2286595398465945,12,954.8166666666666,586.7482375281788,2688.9166666666665,1006.1687422489272
MLLM-Agent-Baseline,8,15.083333333333334,1.7816403745544227,12,1102.95,472.1800301887945,3233.0,930.1668472034271
MLLM-Agent-Baseline,9,5.75,3.3608710992024893,12,291.9916666666666,250.49035350082784,705.9166666666666,361.0286965006656
MLLM-Agent-Baseline,10,16.0,0.0,12,1092.1416666666667,443.61380308538503,4409.833333333333,940.1763696565694
