llm,agent_config,seed,run_id,quest_id,quest_name,quest_type,quest_category,difficulty,success,attempts,first_try_success,completion_time,total_tokens,sample_efficiency,avg_interactions_per_attempt,final_successful_attempt_interactions,adaptation_speed,rules_learned,rules_retracted,ntp_veto_rate,ilp_confidence,error_types,recovery_strategies,learning_opportunity,failure_modes_encountered
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,1,Find the bag of gold and grab it,primitive,navigation,1,True,5,False,293.3,495,70,14.0,11,,,,0.0,1.0,"['pathfinding_error', 'movement_confusion', 'object_recognition_failure', 'collision_detection_failure']","['seek_alternative_path', 'use_fallback_strategy', 'seek_alternative_path', 'seek_alternative_path']",basic_interaction,"['collision_stuck', 'wrong_direction', 'path_blocked']"
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,2,Find the goblin and kill it,primitive,combat,2,True,11,False,1073.2,1496,281,25.5,26,,,,0.0,1.0,"['collision_detection_failure', 'spatial_reasoning_error', 'context_loss', 'memory_overflow', 'spatial_reasoning_error']","['request_clarification', 'simplify_approach', 'reset_and_restart', 'retry_with_modified_prompt', 'retry_with_modified_prompt']",combat_mechanics,"['combat_strategy_error', 'enemy_detection_failure', 'health_depletion']"
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,3,"Find and grab the mushroom, meat, and pumpkin",primitive,multi_collection,3,True,7,False,783.0,1198,183,26.1,20,,,,0.0,1.0,"['collision_detection_failure', 'collision_detection_failure', 'state_confusion', 'state_confusion', 'pathfinding_error']","['seek_alternative_path', 'simplify_approach', 'seek_alternative_path', 'use_fallback_strategy', 'simplify_approach']",inventory_management,"['inventory_full', 'item_confusion', 'incomplete_collection']"
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,4,"Consume mushroom, then meat",learning,critical_learning,3,True,12,False,1135.5,1796,237,19.8,22,,,,0.0,1.0,"['memory_overflow', 'context_loss', 'memory_overflow', 'memory_overflow', 'state_confusion']","['reset_and_restart', 'use_fallback_strategy', 'reset_and_restart', 'simplify_approach', 'manual_intervention']",harm_detection_and_avoidance,"['no_learning_from_damage', 'repeated_harm', 'consumption_mistake']"
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,5,Check the stats and consume pumpkin,conditional,ui_interaction,2,True,9,False,602.1,1033,160,17.8,15,,,,0.0,1.0,"['memory_overflow', 'context_loss', 'context_loss', 'context_loss', 'memory_overflow']","['use_fallback_strategy', 'backtrack_and_replan', 'backtrack_and_replan', 'reset_and_restart', 'backtrack_and_replan']",conditional_behavior,"['interface_confusion', 'action_unavailable', 'wrong_menu']"
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,6,Kill two goblins and one sheep,productivity,scaled_combat,3,False,16,False,1430.0,2409,380,23.8,0,,,,0.0,1.0,"['state_confusion', 'collision_detection_failure', 'pathfinding_error', 'memory_overflow', 'spatial_reasoning_error']","['use_fallback_strategy', 'simplify_approach', 'manual_intervention', 'backtrack_and_replan', 'retry_with_modified_prompt']",sequence_scaling,"['combat_fatigue', 'health_management', 'target_confusion']"
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,7,Find Purple Bob and interact with him,primitive,npc_interaction,4,False,16,False,1992.2,2707,413,25.8,0,,,,0.0,1.0,"['visual_occlusion', 'object_recognition_failure', 'visual_occlusion', 'object_recognition_failure', 'movement_confusion']","['seek_alternative_path', 'retry_with_modified_prompt', 'manual_intervention', 'seek_alternative_path', 'seek_alternative_path']",social_interaction,"['dialogue_stuck', 'interaction_failed', 'npc_not_found']"
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,8,Find Brother Blue and report back to Purple Bob,systematicity,multi_npc_quest,4,False,16,False,1656.9,3069,381,23.8,0,,,,0.0,1.0,"['spatial_reasoning_error', 'collision_detection_failure', 'visual_occlusion', 'spatial_reasoning_error', 'visual_occlusion']","['use_fallback_strategy', 'request_clarification', 'manual_intervention', 'simplify_approach', 'seek_alternative_path']",quest_chain_management,"['incomplete_reporting', 'quest_state_confusion', 'npc_mix_up']"
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,9,Kill one more goblin,systematicity,pattern_reuse,2,True,10,False,775.8,1017,214,21.4,19,,,,0.0,1.0,"['pathfinding_error', 'pathfinding_error', 'collision_detection_failure', 'pathfinding_error', 'spatial_reasoning_error']","['use_fallback_strategy', 'use_fallback_strategy', 'request_clarification', 'use_fallback_strategy', 'seek_alternative_path']",skill_transfer,"['overconfidence', 'skill_decay', 'pattern_degradation']"
LLaVA-1.6,MLLM-Agent-Baseline,42,LLaVA-1.6_MLLM-Agent-Baseline_42,10,"Kill goblin by standing top, convert to archer, and shoot",productivity,complex_sequence,5,False,16,False,1796.6,4142,426,26.6,0,,,,0.0,1.0,"['collision_detection_failure', 'memory_overflow', 'movement_confusion', 'pathfinding_error', 'spatial_reasoning_error']","['simplify_approach', 'use_fallback_strategy', 'use_fallback_strategy', 'simplify_approach', 'use_fallback_strategy']",advanced_strategy,"['state_management_failure', 'sequence_break', 'complexity_overload']"
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,1,Find the bag of gold and grab it,primitive,navigation,1,True,1,True,13.4,58,6,6.0,5,,6.0,1.0,0.011105163,0.914712001,,,basic_interaction,
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,2,Find the goblin and kill it,primitive,combat,2,True,4,False,107.2,258,48,12.0,9,2.4,9.0,2.0,0.043683095,0.945763115,"['visual_occlusion', 'movement_confusion', 'context_loss']","['backtrack_and_replan', 'simplify_approach', 'request_clarification']",combat_mechanics,"['combat_strategy_error', 'health_depletion', 'enemy_detection_failure']"
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,3,"Find and grab the mushroom, meat, and pumpkin",primitive,multi_collection,3,True,1,True,47.3,98,19,19.0,13,,8.0,2.0,0.041967893,0.903806404,,,inventory_management,
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,4,"Consume mushroom, then meat",learning,critical_learning,3,True,2,False,42.8,197,25,12.5,9,1.0,14.0,2.0,0.002870559,0.98659278,['context_loss'],['request_clarification'],harm_detection_and_avoidance,['repeated_harm']
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,5,Check the stats and consume pumpkin,conditional,ui_interaction,2,True,1,True,23.1,75,13,13.0,7,,4.0,0.0,0.001982224,0.888349624,,,conditional_behavior,
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,6,Kill two goblins and one sheep,productivity,scaled_combat,3,True,1,True,57.1,85,26,26.0,19,,10.0,2.0,0.111322421,0.983258449,,,sequence_scaling,
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,7,Find Purple Bob and interact with him,primitive,npc_interaction,4,True,4,False,150.6,483,74,18.5,12,3.0,10.0,1.0,0.021160666,0.860115819,"['state_confusion', 'visual_occlusion', 'memory_overflow']","['retry_with_modified_prompt', 'retry_with_modified_prompt', 'seek_alternative_path']",social_interaction,"['interaction_failed', 'npc_not_found', 'dialogue_stuck']"
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,8,Find Brother Blue and report back to Purple Bob,systematicity,multi_npc_quest,4,True,3,False,186.0,325,74,24.7,15,2.0,14.0,3.0,0.036246057,0.756705922,"['object_recognition_failure', 'movement_confusion']","['request_clarification', 'manual_intervention']",quest_chain_management,"['npc_mix_up', 'quest_state_confusion']"
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,9,Kill one more goblin,systematicity,pattern_reuse,2,True,1,True,31.1,88,15,15.0,7,,3.0,1.0,0.042097354,0.940869355,,,skill_transfer,
LLaVA-1.6,AGEL-Comp-Full-System,42,LLaVA-1.6_AGEL-Comp-Full-System_42,10,"Kill goblin by standing top, convert to archer, and shoot",productivity,complex_sequence,5,True,4,False,204.3,536,108,27.0,17,2.7,8.0,1.0,0.065813021,0.885617922,"['memory_overflow', 'visual_occlusion', 'state_confusion']","['seek_alternative_path', 'request_clarification', 'manual_intervention']",advanced_strategy,"['complexity_overload', 'state_management_failure', 'sequence_break']"
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,1,Find the bag of gold and grab it,primitive,navigation,1,True,1,True,102.5,217,28,9.3,3,,,,0.0,0.837090404,"['spatial_reasoning_error', 'spatial_reasoning_error']","['reset_and_restart', 'reset_and_restart']",basic_interaction,"['collision_stuck', 'path_blocked']"
